timestamp,machine_id,temperature,vibration,pressure,rpm,failure
2024-01-01 00:00:00,M1,65,0.02,30,1500,0
2024-01-01 01:00:00,M1,66,0.03,31,1520,0
2024-01-01 02:00:00,M1,67,0.04,31,1510,0
2024-01-01 03:00:00,M1,68,0.05,32,1530,0
2024-01-01 04:00:00,M1,75,0.10,36,1600,1
2024-01-01 05:00:00,M1,70,0.04,32,1500,0

2024-01-01 00:00:00,M2,60,0.06,28,1450,0
2024-01-01 01:00:00,M2,62,0.07,29,1470,0
2024-01-01 02:00:00,M2,64,0.09,30,1480,0
2024-01-01 03:00:00,M2,65,0.12,31,1500,0
2024-01-01 04:00:00,M2,68,0.18,34,1550,1
2024-01-01 05:00:00,M2,66,0.10,31,1480,0

2024-01-01 00:00:00,M3,70,0.03,33,1550,0
2024-01-01 01:00:00,M3,72,0.03,34,1560,0
2024-01-01 02:00:00,M3,75,0.04,35,1570,0
2024-01-01 03:00:00,M3,80,0.05,36,1580,0
2024-01-01 04:00:00,M3,90,0.07,38,1600,1
2024-01-01 05:00:00,M3,78,0.04,35,1550,0
